start_time,peak_time,end_time,start_frame,peak_frame,end_frame,trajectory_distance,horizontal_displacement,average_speed,lift_height,left_to_right_distance,left_to_right_speed,left_to_right_acceleration_mean,left_to_right_acceleration_max,left_to_right_smoothness,right_to_left_distance,right_to_left_speed,right_to_left_acceleration_mean,right_to_left_acceleration_max,right_to_left_smoothness,max_height,duration,start_pos_x,start_pos_y,end_pos_x,end_pos_y,is_valid,rejection_reasons
00:01.117,00:01.667,00:01.800,67,100,108,128.2608687356323,128.2608687356323,187.69883229604727,120.9928779802957,128.2608687356323,772.3950389558545,-389.17908239077514,110407.94553199639,-21.22941677549653,0.0,0.0,0.0,0.0,0.0,120.9928779802957,0.6833333333333333,262.34711793103475,374.3020465517245,390.60798666666705,285.8527042857146,True,[]
00:02.367,00:03.017,00:04.200,142,181,252,27.32126710732058,27.32126710732058,14.90250933126577,30.592985238095252,27.32126710732058,155.39626796768917,-61.97962134041505,11686.763566881993,-16.54194402802512,0.0,0.0,0.0,0.0,0.0,30.592985238095252,1.8333333333333333,223.25770095238113,313.98884619047647,250.5789680597017,319.0181958208958,True,[]
00:09.150,00:09.467,00:09.650,549,568,579,152.88900517006817,152.88900517006817,305.77801034013635,120.35123671428585,152.88900517006817,580.0392700965898,-1042.8653087169264,38351.632025352075,-19.26224121662642,0.0,0.0,0.0,0.0,0.0,120.35123671428585,0.5,193.65912666666685,371.8702583333337,346.548131836735,296.16451761904796,True,[]
00:13.583,00:13.983,00:14.250,815,839,855,109.78431013605456,109.78431013605456,164.67646520408184,115.01568066666675,109.78431013605456,518.1557159013613,1161.0891850416065,19050.48601330073,-18.159537369116013,0.0,0.0,0.0,0.0,0.0,115.01568066666675,0.6666666666666666,223.93404619047635,340.62666857142887,333.7183563265309,295.05030653061254,True,[]
00:21.050,00:21.433,00:21.550,1263,1286,1293,197.36790948083637,197.36790948083637,394.73581896167275,126.68632162020913,197.36790948083637,1162.0164773103616,4717.410591675742,183544.38514631565,-23.00406539015257,0.0,0.0,0.0,0.0,0.0,126.68632162020913,0.5,182.44140980487822,373.1954880487808,379.8093192857146,290.28218619047647,True,[]
00:23.200,00:24.517,00:24.833,1392,1471,1490,67.50661847740884,67.50661847740884,41.33058274127072,61.88299985354104,67.50661847740884,541.9257612431967,500.2294071660447,141818.25335129892,-21.251965778109216,0.0,0.0,0.0,0.0,0.0,61.88299985354104,1.6333333333333333,161.03310509401996,328.0574886630651,228.5397235714288,344.18824666666694,True,[]
00:27.067,00:27.533,00:27.633,1624,1652,1658,221.46352602564122,221.46352602564122,390.81798710407276,171.5694440109892,221.46352602564122,534.0763161016971,134.22977493712386,14725.74328002681,-18.052374558761525,0.0,0.0,0.0,0.0,0.0,171.5694440109892,0.5666666666666667,183.1799473076925,374.20490615384654,404.6434733333337,225.43879095238117,True,[]
00:28.150,00:28.883,00:29.050,1689,1733,1743,170.97863134920655,170.97863134920655,189.97625705467394,134.01913702380966,170.97863134920655,642.1369630659959,646.6989320919423,33342.81846231628,-19.204026717807228,0.0,0.0,0.0,0.0,0.0,134.01913702380966,0.9,223.7799090476192,343.239056666667,394.75854039682577,225.49422071428592,True,[]
00:30.550,00:30.917,00:31.050,1833,1855,1863,209.13050207282936,209.13050207282936,418.2610041456587,132.21175755742314,209.13050207282936,579.4971025072542,-306.00471060062574,22946.320457035385,-18.09946953373481,0.0,0.0,0.0,0.0,0.0,132.21175755742314,0.5,173.0507341176472,372.696541176471,382.18123619047657,293.9356553968256,True,[]
00:35.733,00:36.700,00:36.933,2144,2202,2216,117.48147881773403,117.48147881773403,97.90123234811169,64.92650445226369,117.48147881773403,334.1822575735518,1052.8847844662803,25813.001046831923,-17.500768820163564,0.0,0.0,0.0,0.0,0.0,64.92650445226369,1.2,153.13871689655187,315.7930172413796,270.6201957142859,307.04809000000023,True,[]
00:38.950,00:39.283,00:39.450,2337,2357,2367,129.5556896392498,129.5556896392498,259.1113792784996,62.73940238095241,129.5556896392498,841.8055821027713,753.7137590947248,127342.95179254632,-22.786426135070347,0.0,0.0,0.0,0.0,0.0,62.73940238095241,0.5,217.51451555555576,343.34245333333365,347.07020519480557,297.89770822510854,True,[]
00:39.883,00:40.550,00:40.833,2393,2433,2450,137.17974474206358,137.17974474206358,144.39973130743536,101.24013014880961,137.17974474206358,336.01912664308094,360.97540952410327,18679.285777438217,-17.11937705917795,0.0,0.0,0.0,0.0,0.0,101.24013014880961,0.95,218.60055875000023,353.1451531250003,355.7803034920638,293.4153338095241,True,[]
00:41.850,00:42.533,00:42.750,2511,2552,2565,108.26763544444458,108.26763544444458,120.29737271604952,75.31360959183684,108.26763544444458,684.4141476075051,528.8300792892423,39789.90033626445,-19.312989779524198,0.0,0.0,0.0,0.0,0.0,75.31360959183684,0.9,178.57200900000015,335.9368300000003,286.83964444444473,322.1960611111114,True,[]
00:46.183,00:46.583,00:46.917,2771,2795,2815,60.52660817460327,60.52660817460327,82.536283874459,104.59042158730165,60.52660817460327,559.0104763180857,1315.4272946446174,32563.188064345857,-18.16843534844949,0.0,0.0,0.0,0.0,0.0,104.59042158730165,0.7333333333333333,217.51735944444465,333.19552888888916,278.0439676190479,305.05631666666693,True,[]
00:47.417,00:47.733,00:48.217,2845,2864,2893,37.68873046075839,37.68873046075839,47.11091307594799,46.78442038359793,37.68873046075839,216.85714148360833,1165.7106826886636,33989.92214408367,-17.85394839415897,0.0,0.0,0.0,0.0,0.0,46.78442038359793,0.8,192.85524291666684,352.073329166667,230.54397337742523,323.35914483245176,True,[]
00:48.517,00:49.000,00:49.117,2911,2940,2947,112.16123238095247,112.16123238095247,186.93538730158747,85.9550390476191,112.16123238095247,452.8156301016152,-120.33804692946705,16519.16270877149,-17.72369126316099,0.0,0.0,0.0,0.0,0.0,85.9550390476191,0.6,292.9717790476193,329.33231238095266,405.13301142857176,275.5050885714288,True,[]
00:50.600,00:51.033,00:51.767,3036,3062,3106,124.46889951818196,124.46889951818196,106.68762815844167,49.059026107936575,124.46889951818196,392.9896987809337,56.729762708244884,16159.636201692663,-16.88034160165863,0.0,0.0,0.0,0.0,0.0,49.059026107936575,1.1666666666666667,181.45338230000016,325.5159596000003,305.9222818181821,301.42364848484874,True,[]
00:53.400,00:53.717,00:54.017,3204,3223,3241,72.86242809523816,72.86242809523816,118.1552888030889,70.4812925255103,72.86242809523816,528.599172593968,1031.3954978324994,15180.517487636136,-17.485673183763907,0.0,0.0,0.0,0.0,0.0,70.4812925255103,0.6166666666666667,200.5345300000002,325.22843500000033,273.39695809523835,324.40144142857173,True,[]
00:57.050,00:57.383,00:57.667,3423,3443,3460,79.17565296296306,79.17565296296306,128.39295075075088,73.64782808465617,79.17565296296306,504.59151736797014,845.9280591502197,19225.349375763213,-17.90761370480429,0.0,0.0,0.0,0.0,0.0,73.64782808465617,0.6166666666666667,207.75777037037057,346.6559170370374,286.9334233333336,321.5504733333336,True,[]
00:58.183,00:58.633,00:59.350,3491,3518,3561,27.845789944629047,27.845789944629047,23.867819952539183,54.36290272425248,27.845789944629047,115.19041646237629,68.46736212703128,15809.911273574413,-16.223811792998813,0.0,0.0,0.0,0.0,0.0,54.36290272425248,1.1666666666666667,213.90857333333352,354.8562433333336,241.75436327796257,342.3943254226655,True,[]
01:00.867,01:01.383,01:01.533,3652,3683,3692,165.90392708599873,165.90392708599873,248.8558906289981,79.12415904619775,165.90392708599873,340.5070486405024,428.66660979651033,15874.938146076882,-17.41250807170436,0.0,0.0,0.0,0.0,0.0,79.12415904619775,0.6666666666666666,209.08843910447783,360.16888552238845,374.99236619047656,301.43792428571453,True,[]
01:03.650,01:04.167,01:04.283,3819,3850,3857,143.43742820512836,143.43742820512836,226.4801497975711,72.06544054945061,143.43742820512836,337.3934784282224,480.9202748922184,84726.35293201776,-20.23746436976514,0.0,0.0,0.0,0.0,0.0,72.06544054945061,0.6333333333333333,225.91142417582438,358.7020453113556,369.34885238095274,302.1524166666669,True,[]
